58 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2143 1 0 0 0 155 261 1 0 0 0 0 0 0 0 
44 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 29 1 0 0 0 155 151 1 0 0 0 0 0 0 0 
33 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 2 1 1 0 0 155 76 1 0 0 0 0 0 0 0 
47 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1506 1 0 0 0 155 92 1 0 0 0 0 0 0 0 
33 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 155 198 1 0 0 0 0 0 0 0 
35 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 231 1 0 0 0 155 139 1 0 0 0 0 0 0 0 
28 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 447 1 1 0 0 155 217 1 0 0 0 0 0 0 0 
42 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 2 1 0 0 0 155 380 1 0 0 0 0 0 0 0 
58 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 121 1 0 0 0 155 50 1 0 0 0 0 0 0 0 
43 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 593 1 0 0 0 155 55 1 0 0 0 0 0 0 0 
41 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 270 1 0 0 0 155 222 1 0 0 0 0 0 0 0 
29 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 390 1 0 0 0 155 137 1 0 0 0 0 0 0 0 
53 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 6 1 0 0 0 155 517 1 0 0 0 0 0 0 0 
58 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 71 1 0 0 0 155 71 1 0 0 0 0 0 0 0 
57 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 162 1 0 0 0 155 174 1 0 0 0 0 0 0 0 
51 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 229 1 0 0 0 155 353 1 0 0 0 0 0 0 0 
45 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 13 1 0 0 0 155 98 1 0 0 0 0 0 0 0 
